"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.905076770E-1,-4.825725079E0,9.044869423E0,1.363908887E0
8.928609060E-1,-4.764110088E0,8.955139160E0,1.436890006E0
8.952141350E-1,-4.699503899E0,8.875576973E0,1.587637782E0
8.975673640E-1,-4.633700848E0,8.814560890E0,1.661217093E0
8.999205940E-1,-4.564309120E0,8.787042618E0,1.782054663E0
9.022738230E-1,-4.493721008E0,8.740383148E0,1.884347796E0
9.046270520E-1,-4.400999069E0,8.770891190E0,2.005185366E0
9.069802810E-1,-4.317848682E0,8.781659126E0,2.112264156E0
9.093335100E-1,-4.219742775E0,8.759525299E0,2.233700037E0
9.116867910E-1,-4.108476639E0,8.757132530E0,2.379063845E0
9.140400210E-1,-3.968496323E0,8.745168686E0,2.539382935E0
9.163932500E-1,-3.842873096E0,8.713463783E0,2.705085993E0
9.187464790E-1,-3.688536167E0,8.711071014E0,2.846262455E0
9.210997080E-1,-3.549154282E0,8.703892708E0,2.992224693E0
9.234529370E-1,-3.393620729E0,8.706285477E0,3.109472990E0
9.258061660E-1,-3.224926710E0,8.679964066E0,3.236890793E0
9.281593960E-1,-3.055634499E0,8.696115494E0,3.311068296E0
9.305126250E-1,-2.881556749E0,8.665008545E0,3.419343472E0
9.328659060E-1,-2.735594511E0,8.623134613E0,3.483949661E0
9.352191350E-1,-2.551347256E0,8.596813202E0,3.553939819E0
9.375723640E-1,-2.453241348E0,8.574081421E0,3.627519131E0
9.399255940E-1,-2.330609322E0,8.571090698E0,3.686741590E0
9.422788230E-1,-2.203789711E0,8.563314438E0,3.795016766E0
9.446320520E-1,-2.110469580E0,8.574081421E0,3.863212109E0
9.469852810E-1,-2.026720762E0,8.595019341E0,3.964907169E0
9.493385100E-1,-1.938784599E0,8.639286041E0,4.047459602E0
9.516917390E-1,-1.878963947E0,8.702695847E0,4.124628067E0
9.540450210E-1,-1.814357758E0,8.775676727E0,4.192225456E0
9.563982500E-1,-1.782652855E0,8.867202759E0,4.249652863E0
9.587514790E-1,-1.765304923E0,8.953344345E0,4.287340164E0
