"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.699494796E1,-7.147959232E0,3.725624800E0,8.699705124E0
8.699730150E1,-7.133602619E0,3.749552965E0,8.656634331E0
8.699965499E1,-7.124629498E0,3.811766386E0,8.647063255E0
8.700200853E1,-7.119843960E0,3.830909014E0,8.661419868E0
8.700436202E1,-7.106084824E0,3.845266104E0,8.656634331E0
8.700671556E1,-7.077969551E0,3.888935089E0,8.661419868E0
8.700906905E1,-7.040880680E0,3.912863255E0,8.695517540E0
8.701142259E1,-7.017550468E0,3.961317778E0,8.700303078E0
8.701377608E1,-6.975676060E0,3.990629911E0,8.724231720E0
8.701612962E1,-6.920042992E0,4.039084435E0,8.758329391E0
8.701848311E1,-6.864409924E0,4.044468403E0,8.826524734E0
8.702083666E1,-6.821937561E0,4.068994999E0,8.846264839E0
8.702319020E1,-6.723233223E0,4.079762459E0,8.909674644E0
8.702554369E1,-6.638886452E0,4.085744858E0,8.968298912E0
8.702789723E1,-6.559325218E0,4.096512318E0,9.026923180E0
8.703025072E1,-6.456433773E0,4.135993958E0,9.066405296E0
8.703260426E1,-6.357131481E0,4.122833252E0,9.087342262E0
8.703495775E1,-6.229115486E0,4.143172264E0,9.089137077E0
8.703731129E1,-6.130411625E0,4.192823410E0,9.114261627E0
8.703966483E1,-5.988636971E0,4.227519512E0,9.120841980E0
8.704201832E1,-5.880361557E0,4.262215137E0,9.126823425E0
8.704437186E1,-5.752345562E0,4.287340164E0,9.109476089E0
8.704672535E1,-5.633901119E0,4.312464714E0,9.129815102E0
