"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.965018160E-1,-2.869454920E-1,1.293316364E0,4.779879749E-1
7.988553580E-1,-2.967190444E-1,1.289651275E0,4.743228853E-1
8.012089000E-1,-3.040492237E-1,1.289651275E0,4.680617154E-1
8.035624410E-1,-3.150444627E-1,1.289498568E0,4.605788291E-1
8.059159830E-1,-3.235963285E-1,1.289498568E0,4.518742561E-1
8.082695250E-1,-3.335226178E-1,1.293010950E0,4.443913698E-1
8.106230660E-1,-3.443651497E-1,1.294079900E0,4.330907166E-1
8.129766080E-1,-3.567348123E-1,1.293927193E0,4.256078303E-1
8.153302020E-1,-3.701734245E-1,1.290262103E0,4.132381678E-1
8.176837430E-1,-3.834593594E-1,1.284000993E0,3.970507085E-1
8.200372850E-1,-3.981196880E-1,1.274227381E0,3.846810758E-1
8.223908270E-1,-4.089622498E-1,1.262163162E0,3.710896969E-1
8.247443680E-1,-4.184303582E-1,1.245212078E0,3.564293683E-1
8.270979100E-1,-4.242334068E-1,1.222305417E0,3.391729295E-1
8.294514520E-1,-4.262186885E-1,1.200620294E0,3.208475113E-1
8.318049930E-1,-4.269822240E-1,1.172979474E0,3.063398898E-1
8.341585350E-1,-4.240806997E-1,1.145185947E0,2.906105816E-1
8.365120770E-1,-4.175141156E-1,1.112810969E0,2.761029601E-1
8.388656180E-1,-4.107947946E-1,1.077992678E0,2.664821148E-1
8.412191600E-1,-4.042281806E-1,1.043174386E0,2.545706034E-1
8.435727020E-1,-3.938437700E-1,1.002400398E0,2.473931462E-1
8.459262430E-1,-3.860554695E-1,9.616262913E-1,2.415900975E-1
8.482797850E-1,-3.758237660E-1,9.231429100E-1,2.394521236E-1
8.506333270E-1,-3.668137789E-1,8.825215697E-1,2.360924631E-1
8.529868680E-1,-3.590254784E-1,8.429692388E-1,2.363978922E-1
8.553404100E-1,-3.513898849E-1,8.057075143E-1,2.353289127E-1
8.576940040E-1,-3.448232710E-1,7.661551833E-1,2.380777150E-1
8.600475460E-1,-3.371876776E-1,7.327113152E-1,2.357870489E-1
8.624010870E-1,-3.307738006E-1,6.991146803E-1,2.360924631E-1
8.647546290E-1,-3.254288733E-1,6.667397618E-1,2.338017821E-1
8.671081710E-1,-3.214583695E-1,6.390989423E-1,2.302894145E-1
8.694617120E-1,-3.162661791E-1,6.139014959E-1,2.279987335E-1
8.718152540E-1,-3.136700690E-1,5.876350403E-1,2.257080674E-1
8.741687960E-1,-3.133646548E-1,5.694623590E-1,2.197522968E-1
8.765223370E-1,-3.132119179E-1,5.538857579E-1,2.185306102E-1
